,order_number,line_item,order_date,delivery_date,customerkey,storekey,productkey,quantity,currency_code,gender,name,city,state_code,state,zip_code,country,continent,birthday,date,currency,exchange,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,square_meters,open_date
33,1980000,1,2020-06-02,Not Available,1416469,47,1495,1,USD,Female,Megan Budde,Waimea,HI,Hawaii,96796,United States,North America,1950-04-02,2020-06-02,USD,1.0,The Phone Company Smart phones 6-LINE SCREEN M21 White,The Phone Company,White,105.77,230.0,504,Smart phones & PDAs,5,Cell phones,1120.0,2015-04-04
34,1520025,2,2019-02-28,Not Available,1239466,47,1669,2,USD,Male,Sheldon Brooks,Waipahu,HI,Hawaii,96797,United States,North America,1960-05-18,2019-02-28,USD,1.0,MGS Hand Games men M300 Black,Tailspin Toys,Black,3.17,6.89,701,Boxed Games,7,Games and Toys,1120.0,2015-04-04
35,2022009,2,2020-07-14,Not Available,1638118,47,1425,7,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2020-07-14,USD,1.0,"The Phone Company Touch Screen Phone 1600 TFT-2.2"" L200 Grey",The Phone Company,Grey,175.27,529.0,503,Touch Screen Phones,5,Cell phones,1120.0,2015-04-04
36,589006,3,2016-08-11,Not Available,1820936,47,1625,2,USD,Male,Cliff Johnson,Pahala,HI,Hawaii,96777,United States,North America,1957-11-28,2016-08-11,USD,1.0,Contoso DVD Recorder L230 Grey,Contoso,Grey,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
37,1389023,2,2018-10-20,Not Available,1999721,47,83,1,USD,Male,Tihomil Boic,Honolulu,HI,Hawaii,96819,United States,North America,1990-09-15,2018-10-20,USD,1.0,NT Wireless Bluetooth Stereo Headphones M402 Silver,Northwind Traders,Silver,45.98,99.99,106,Bluetooth Headphones,1,Audio,1120.0,2015-04-04
38,1064009,1,2017-11-29,Not Available,1733373,47,105,3,USD,Female,Dawn Wilson,Moanalua,HI,Hawaii,96819,United States,North America,1954-10-02,2017-11-29,USD,1.0,WWI Wireless Bluetooth Stereo Headphones M270 Pink,Wide World Importers,Pink,52.88,115.0,106,Bluetooth Headphones,1,Audio,1120.0,2015-04-04
39,1452088,2,2018-12-22,Not Available,1638118,47,2088,3,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2018-12-22,USD,1.0,Contoso Water Heater 2.6GPM E0900 White,Contoso,White,258.99,508.0,804,Water Heaters,8,Home Appliances,1120.0,2015-04-04
40,1989006,4,2020-06-11,Not Available,1820936,47,113,1,USD,Male,Cliff Johnson,Pahala,HI,Hawaii,96777,United States,North America,1957-11-28,2020-06-11,USD,1.0,WWI Wireless Transmitter and Bluetooth Headphones X250 White,Wide World Importers,White,82.83,249.99,106,Bluetooth Headphones,1,Audio,1120.0,2015-04-04
41,1822044,2,2019-12-27,Not Available,1620629,47,451,6,USD,Female,Emily Williams,Hanapepe,HI,Hawaii,96716,United States,North America,1975-01-13,2019-12-27,USD,1.0,WWI Desktop PC2.30 M2300 Silver,Wide World Importers,Silver,257.06,559.0,303,Desktops,3,Computers,1120.0,2015-04-04
42,1393014,4,2018-10-24,Not Available,1638118,47,416,5,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2018-10-24,USD,1.0,Adventure Works Desktop PC2.33 XD233 Silver,Adventure Works,Silver,321.05,969.0,303,Desktops,3,Computers,1120.0,2015-04-04
43,1809013,1,2019-12-14,Not Available,1571781,47,436,2,USD,Male,Douglas Steward,Honolulu,HI,Hawaii,96813,United States,North America,1973-02-03,2019-12-14,USD,1.0,Adventure Works Desktop PC1.80 ED180 White,Adventure Works,White,188.13,369.0,303,Desktops,3,Computers,1120.0,2015-04-04
44,2060003,3,2020-08-21,Not Available,1353710,47,1650,1,USD,Male,Thomas Gallup,Honolulu,HI,Hawaii,96826,United States,North America,1960-04-09,2020-08-21,USD,1.0,Contoso DVD 15-Inch Player Portable L200 Black,Contoso,Black,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
45,1407014,2,2018-11-07,Not Available,1756245,47,1626,8,USD,Female,Christel Motley,Mililani,HI,Hawaii,96789,United States,North America,1967-06-02,2018-11-07,USD,1.0,Contoso DVD Recorder L240 Gold,Contoso,Gold,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
46,1980000,3,2020-06-02,Not Available,1416469,47,1769,10,USD,Female,Megan Budde,Waimea,HI,Hawaii,96796,United States,North America,1950-04-02,2020-06-02,USD,1.0,MGS Gears of War 2008 M450,Tailspin Toys,White,15.64,34.0,702,Download Games,7,Games and Toys,1120.0,2015-04-04
47,1603022,4,2019-05-22,Not Available,1416469,47,1623,4,USD,Female,Megan Budde,Waimea,HI,Hawaii,96796,United States,North America,1950-04-02,2019-05-22,USD,1.0,Contoso DVD Recorder L210 Silver,Contoso,Silver,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
48,1452088,3,2018-12-22,Not Available,1638118,47,1548,2,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2018-12-22,USD,1.0,The Phone Company PDA Handheld 3.7 inch M630 Silver,The Phone Company,Silver,122.32,266.0,504,Smart phones & PDAs,5,Cell phones,1120.0,2015-04-04
49,994005,2,2017-09-20,Not Available,1999721,47,1201,6,USD,Male,Tihomil Boic,Honolulu,HI,Hawaii,96819,United States,North America,1990-09-15,2017-09-20,USD,1.0,Fabrikam Trendsetter 1/2'' 3mm X300 Grey,Fabrikam,Grey,330.99,999.0,405,Camcorders,4,Cameras and camcorders,1120.0,2015-04-04
50,2060003,4,2020-08-21,Not Available,1353710,47,89,1,USD,Male,Thomas Gallup,Honolulu,HI,Hawaii,96826,United States,North America,1960-04-09,2020-08-21,USD,1.0,NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Northwind Traders,Blue,49.69,149.99,106,Bluetooth Headphones,1,Audio,1120.0,2015-04-04
51,1452088,1,2018-12-22,Not Available,1638118,47,528,2,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2018-12-22,USD,1.0,WWI LCD24 X300 White,Wide World Importers,White,271.35,819.0,304,Monitors,3,Computers,1120.0,2015-04-04
52,1346006,1,2018-09-07,Not Available,1201045,47,1601,1,USD,Male,Matthew Hough,Laupahoehoe,HI,Hawaii,96764,United States,North America,1997-12-05,2018-09-07,USD,1.0,SV DVD 9-Inch Player Portable M300 Black,Southridge Video,Black,73.57,159.99,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
53,1812045,2,2019-12-17,Not Available,1764598,47,1606,1,USD,Male,Damon Reece,Honolulu,HI,Hawaii,96813,United States,North America,1999-12-15,2019-12-17,USD,1.0,SV DVD 9-Inch Player Portable M300 Silver,Southridge Video,Silver,73.57,159.99,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
54,1407014,1,2018-11-07,Not Available,1756245,47,64,1,USD,Female,Christel Motley,Mililani,HI,Hawaii,96789,United States,North America,1967-06-02,2018-11-07,USD,1.0,WWI 2GB Spy Video Recorder Pen M300 Silver,Wide World Importers,Silver,83.24,181.0,104,Recording Pen,1,Audio,1120.0,2015-04-04
55,1884014,1,2020-02-27,Not Available,1638118,47,96,2,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2020-02-27,USD,1.0,WWI Stereo Bluetooth Headphones E1000 White,Wide World Importers,White,34.36,67.4,106,Bluetooth Headphones,1,Audio,1120.0,2015-04-04
56,1948012,1,2020-05-01,Not Available,1354052,47,73,1,USD,Male,George Heath,Waipahu,HI,Hawaii,96797,United States,North America,1956-04-16,2020-05-01,USD,1.0,NT Wireless Bluetooth Stereo Headphones E102 White,Northwind Traders,White,22.05,47.95,106,Bluetooth Headphones,1,Audio,1120.0,2015-04-04
57,749004,1,2017-01-18,Not Available,1756245,47,1510,1,USD,Female,Christel Motley,Mililani,HI,Hawaii,96789,United States,North America,1967-06-02,2017-01-18,USD,1.0,The Phone Company Smart phones without camera E100 Gold,The Phone Company,Gold,65.77,129.0,504,Smart phones & PDAs,5,Cell phones,1120.0,2015-04-04
58,785025,1,2017-02-23,Not Available,1861020,47,165,2,USD,Male,Scott Fullen,Waimea,HI,Hawaii,96796,United States,North America,1999-01-15,2017-02-23,USD,1.0,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,Black,389.26,763.51,201,Televisions,2,TV and Video,1120.0,2015-04-04
59,2008010,1,2020-06-30,Not Available,1201045,47,1452,4,USD,Male,Matthew Hough,Laupahoehoe,HI,Hawaii,96764,United States,North America,1997-12-05,2020-06-30,USD,1.0,The Phone Company Touch Screen Phones SAW/On-wall M806 Gold,The Phone Company,Gold,134.74,293.0,503,Touch Screen Phones,5,Cell phones,1120.0,2015-04-04
60,1389023,3,2018-10-20,Not Available,1999721,47,432,7,USD,Male,Tihomil Boic,Honolulu,HI,Hawaii,96819,United States,North America,1990-09-15,2018-10-20,USD,1.0,Adventure Works Desktop PC1.80 ED182 Brown,Adventure Works,Brown,254.86,499.9,303,Desktops,3,Computers,1120.0,2015-04-04
61,1989006,3,2020-06-11,Not Available,1820936,47,445,6,USD,Male,Cliff Johnson,Pahala,HI,Hawaii,96777,United States,North America,1957-11-28,2020-06-11,USD,1.0,WWI Desktop PC2.30 M2300 Black,Wide World Importers,Black,257.06,559.0,303,Desktops,3,Computers,1120.0,2015-04-04
62,1393014,1,2018-10-24,Not Available,1638118,47,445,3,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2018-10-24,USD,1.0,WWI Desktop PC2.30 M2300 Black,Wide World Importers,Black,257.06,559.0,303,Desktops,3,Computers,1120.0,2015-04-04
63,589006,1,2016-08-11,Not Available,1820936,47,328,1,USD,Male,Cliff Johnson,Pahala,HI,Hawaii,96777,United States,North America,1957-11-28,2016-08-11,USD,1.0,SV Car Video TFT6.2W E6281 Brown,Southridge Video,Brown,132.05,259.0,205,Car Video,2,TV and Video,1120.0,2015-04-04
64,1603022,1,2019-05-22,Not Available,1416469,47,1701,3,USD,Female,Megan Budde,Waimea,HI,Hawaii,96796,United States,North America,1950-04-02,2019-05-22,USD,1.0,SV Hand Games for 12-16 boys E60 Red,Southridge Video,Red,2.54,4.98,701,Boxed Games,7,Games and Toys,1120.0,2015-04-04
65,1953006,1,2020-05-06,Not Available,1354052,47,1701,1,USD,Male,George Heath,Waipahu,HI,Hawaii,96797,United States,North America,1956-04-16,2020-05-06,USD,1.0,SV Hand Games for 12-16 boys E60 Red,Southridge Video,Red,2.54,4.98,701,Boxed Games,7,Games and Toys,1120.0,2015-04-04
66,1450063,3,2018-12-20,Not Available,2090423,47,536,3,USD,Female,Brigitte Archambault,Keaau,HI,Hawaii,96749,United States,North America,1971-07-05,2018-12-20,USD,1.0,WWI LCD17 E205 White,Wide World Importers,White,50.47,99.0,304,Monitors,3,Computers,1120.0,2015-04-04
67,577005,1,2016-07-30,Not Available,1250408,47,1413,2,USD,Female,Julia Huddleston,Honolulu,HI,Hawaii,96815,United States,North America,2001-02-01,2016-07-30,USD,1.0,The Phone Company Touch Screen Phones SAW/Built-in M801 Black,The Phone Company,Black,137.5,299.0,503,Touch Screen Phones,5,Cell phones,1120.0,2015-04-04
68,577005,2,2016-07-30,Not Available,1250408,47,1352,3,USD,Female,Julia Huddleston,Honolulu,HI,Hawaii,96815,United States,North America,2001-02-01,2016-07-30,USD,1.0,Contoso Multi-line phones M30 White,Contoso,White,10.57,22.99,501,Home & Office Phones,5,Cell phones,1120.0,2015-04-04
69,1232008,1,2018-05-16,Not Available,1201045,47,23,3,USD,Male,Matthew Hough,Laupahoehoe,HI,Hawaii,96764,United States,North America,1997-12-05,2018-05-16,USD,1.0,Contoso 8GB MP3 Player new model M820 White,Contoso,White,61.62,134.0,101,MP4&MP3,1,Audio,1120.0,2015-04-04
70,1465013,1,2019-01-04,Not Available,1815207,47,783,5,USD,Male,Desmond Downing,Kamuela,HI,Hawaii,96743,United States,North America,1956-10-05,2019-01-04,USD,1.0,Contoso Education Supplies Bundle E200 White,Contoso,White,6.88,13.5,308,Computers Accessories,3,Computers,1120.0,2015-04-04
71,729021,1,2016-12-29,Not Available,1638118,47,2394,10,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2016-12-29,USD,1.0,Proseware Air conditioner 7000BTU E260 Red,Proseware,Red,152.94,299.99,807,Air Conditioners,8,Home Appliances,1120.0,2015-04-04
72,1452088,7,2018-12-22,Not Available,1638118,47,1801,7,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2018-12-22,USD,1.0,MGS MechWarrior4: Mercenaries2009 E157,Tailspin Toys,White,16.31,32.0,702,Download Games,7,Games and Toys,1120.0,2015-04-04
73,1989006,1,2020-06-11,Not Available,1820936,47,1086,4,USD,Male,Cliff Johnson,Pahala,HI,Hawaii,96777,United States,North America,1957-11-28,2020-06-11,USD,1.0,Contoso SLR Camera M143 Grey,Contoso,Grey,139.8,304.0,402,Digital SLR Cameras,4,Cameras and camcorders,1120.0,2015-04-04
74,1450063,2,2018-12-20,Not Available,2090423,47,2131,3,USD,Female,Brigitte Archambault,Keaau,HI,Hawaii,96749,United States,North America,1971-07-05,2018-12-20,USD,1.0,Contoso Coffee Maker Auto 5C E0900 White,Contoso,White,83.1,163.0,805,Coffee Machines,8,Home Appliances,1120.0,2015-04-04
75,1603022,3,2019-05-22,Not Available,1416469,47,739,2,USD,Female,Megan Budde,Waimea,HI,Hawaii,96796,United States,North America,1950-04-02,2019-05-22,USD,1.0,Proseware Slim-Design Fax Machine with Answering System X180 Green,Proseware,Green,78.19,236.0,306,"Printers, Scanners & Fax",3,Computers,1120.0,2015-04-04
76,1603022,5,2019-05-22,Not Available,1416469,47,2298,3,USD,Female,Megan Budde,Waimea,HI,Hawaii,96796,United States,North America,1950-04-02,2019-05-22,USD,1.0,Proseware Wall Lamp E0215 Grey,Proseware,Grey,61.17,119.99,806,Lamps,8,Home Appliances,1120.0,2015-04-04
77,1599039,1,2019-05-18,Not Available,2000732,47,1062,4,USD,Female,Sabina Jonasson,Honolulu,HI,Hawaii,96813,United States,North America,1996-08-11,2019-05-18,USD,1.0,A. Datum SLR Camera M139 Gold,A. Datum,Gold,143.48,312.0,402,Digital SLR Cameras,4,Cameras and camcorders,1120.0,2015-04-04
78,1886006,2,2020-02-29,Not Available,1756245,47,33,10,USD,Female,Christel Motley,Mililani,HI,Hawaii,96789,United States,North America,1967-06-02,2020-02-29,USD,1.0,Contoso 32GB Video MP3 Player M3200 Black,Contoso,Black,84.49,255.0,101,MP4&MP3,1,Audio,1120.0,2015-04-04
79,1452088,4,2018-12-22,Not Available,1638118,47,493,3,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2018-12-22,USD,1.0,Adventure Works LCD20 M210 Black,Adventure Works,Black,119.11,259.0,304,Monitors,3,Computers,1120.0,2015-04-04
80,1886006,1,2020-02-29,Not Available,1756245,47,1273,1,USD,Female,Christel Motley,Mililani,HI,Hawaii,96789,United States,North America,1967-06-02,2020-02-29,USD,1.0,Contoso Lens Cap Keeper E314 Silver,Contoso,Silver,3.54,6.95,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,1120.0,2015-04-04
81,2060003,2,2020-08-21,Not Available,1353710,47,362,1,USD,Male,Thomas Gallup,Honolulu,HI,Hawaii,96826,United States,North America,1960-04-09,2020-08-21,USD,1.0,Adventure Works Laptop19 X1900 Black,Adventure Works,Black,430.38,1299.0,301,Laptops,3,Computers,1120.0,2015-04-04
82,1465013,2,2019-01-04,Not Available,1815207,47,1474,3,USD,Male,Desmond Downing,Kamuela,HI,Hawaii,96743,United States,North America,1956-10-05,2019-01-04,USD,1.0,The Phone Company Smart phones 160x160 M26 Black,The Phone Company,Black,95.65,208.0,504,Smart phones & PDAs,5,Cell phones,1120.0,2015-04-04
83,1232008,3,2018-05-16,Not Available,1201045,47,2490,10,USD,Male,Matthew Hough,Laupahoehoe,HI,Hawaii,96764,United States,North America,1997-12-05,2018-05-16,USD,1.0,Contoso Rubberized Skin BlackBerry E100 White,Contoso,White,7.64,14.99,505,Cell phones Accessories,5,Cell phones,1120.0,2015-04-04
84,1500020,1,2019-02-08,Not Available,1571781,47,2128,4,USD,Male,Douglas Steward,Honolulu,HI,Hawaii,96813,United States,North America,1973-02-03,2019-02-08,USD,1.0,Contoso Coffee Maker Super-Auto 12C X1250 White,Contoso,White,546.68,1650.0,805,Coffee Machines,8,Home Appliances,1120.0,2015-04-04
